flow_id,split,label,protocol,packet_count,byte_total,duration_sec,avg_pkt_len,std_pkt_len,pkts_per_sec,bytes_per_sec,syn_only_ratio,ack_ratio,dst_port,udp_small_packet_ratio,icmp_type,icmp_code
111.7.96.138_211.65.192.39_35111_9497_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,9497,0.0,0,0
211.65.214.214_45.205.1.8_5555_50623_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,50623,0.0,0,0
211.65.209.52_212.73.148.27_9775_38620_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,38620,0.0,0,0
109.105.211.9_211.65.207.26_34510_195_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,195,0.0,0,0
194.88.98.91_211.65.245.237_56383_6809_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,6809,0.0,0,0
123.160.221.177_211.65.192.111_25134_6936_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,6936,0.0,0,0
193.163.125.195_211.65.192.117_58817_21257_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,21257,0.0,0,0
211.65.199.245_31.14.254.55_60610_27271_tcp,train,TCP-Probe_Flood-Candidate,tcp,2,128,0.010952,64.0,0.0,182.61504747991233,11687.36303871439,1.0,0.0,27271,0.0,0,0
211.65.205.201_91.227.114.150_50078_40403_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,40403,0.0,0,0
165.22.52.108_211.65.200.196_42778_7971_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,7971,0.0,0,0
211.65.231.155_64.62.156.125_8010_35484_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,35484,0.0,0,0
103.234.62.78_211.65.219.43_35859_80_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,80,0.0,0,0
111.7.96.134_211.65.230.106_57151_49502_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,49502,0.0,0,0
165.154.163.44_211.65.240.239_33413_80_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,80,0.0,0,0
211.65.222.26_86.54.25.180_20035_40449_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,40449,0.0,0,0
