flow_id,split,label,protocol,packet_count,byte_total,duration_sec,avg_pkt_len,std_pkt_len,pkts_per_sec,bytes_per_sec,syn_only_ratio,ack_ratio,dst_port,udp_small_packet_ratio,icmp_type,icmp_code,anomaly,is_attack
211.65.206.66_47.115.192.185_0_0_icmp,train,attack,icmp,10,1020,9.002764,102.0,0.0,1.1107699813079626,113.2985380934122,0.0,0.0,0,0.0,0,0,-1,True
211.65.252.87_81.16.152.2_0_0_icmp,train,attack,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0,-1,True
211.65.206.217_47.115.192.185_0_0_icmp,train,attack,icmp,10,1020,9.003792,102.0,0.0,1.1106431601263111,113.28560233288374,0.0,0.0,0,0.0,8,0,-1,True
211.65.207.106_47.115.192.185_0_0_icmp,train,attack,icmp,10,1020,9.004045,102.0,0.0,1.110611952739019,113.28241917937994,0.0,0.0,0,0.0,8,0,-1,True
211.65.207.206_47.115.192.185_0_0_icmp,train,attack,icmp,10,1020,9.004075,102.0,0.0,1.1106082523746192,113.28204174221116,0.0,0.0,0,0.0,8,0,-1,True
211.65.196.138_47.115.192.185_0_0_icmp,train,attack,icmp,10,1020,9.002688,102.0,0.0,1.1107793583427528,113.2994945509608,0.0,0.0,0,0.0,8,0,-1,True
120.71.60.196_211.65.243.80_0_0_icmp,train,attack,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0,-1,True
211.65.222.180_23.133.64.100_0_0_icmp,train,attack,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0,-1,True
211.65.222.211_23.133.64.100_0_0_icmp,train,attack,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0,-1,True
211.65.222.147_23.133.64.100_0_0_icmp,train,attack,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0,-1,True
13.57.30.241_211.65.206.130_0_0_icmp,train,attack,icmp,1,86,0.001,86.0,0.0,1000.0,86000.0,0.0,0.0,0,0.0,8,0,-1,True
13.57.30.241_211.65.192.5_0_0_icmp,train,attack,icmp,1,86,0.001,86.0,0.0,1000.0,86000.0,0.0,0.0,0,0.0,8,0,-1,True
13.57.30.241_211.65.207.137_0_0_icmp,train,attack,icmp,1,86,0.001,86.0,0.0,1000.0,86000.0,0.0,0.0,0,0.0,8,0,-1,True
13.57.30.241_211.65.206.186_0_0_icmp,train,attack,icmp,2,172,0.001,86.0,0.0,2000.0,172000.0,0.0,0.0,0,0.0,8,0,-1,True
13.57.30.241_211.65.207.197_0_0_icmp,train,attack,icmp,2,172,0.117981,86.0,0.0,16.95188208270823,1457.861859112908,0.0,0.0,0,0.0,8,0,-1,True
13.57.30.241_211.65.196.120_0_0_icmp,train,attack,icmp,1,86,0.001,86.0,0.0,1000.0,86000.0,0.0,0.0,0,0.0,0,0,-1,True
13.57.30.241_211.65.206.218_0_0_icmp,train,attack,icmp,1,86,0.001,86.0,0.0,1000.0,86000.0,0.0,0.0,0,0.0,0,0,-1,True
211.65.222.230_23.133.64.100_0_0_icmp,train,attack,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0,-1,True
211.65.222.141_23.133.64.100_0_0_icmp,train,attack,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0,-1,True
211.65.222.21_23.133.64.100_0_0_icmp,train,attack,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0,-1,True
211.65.222.42_23.133.64.100_0_0_icmp,train,attack,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0,-1,True
211.65.222.83_23.133.64.100_0_0_icmp,train,attack,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0,-1,True
211.65.192.57_52.83.50.135_0_0_icmp,train,attack,icmp,2,172,0.001,86.0,0.0,2000.0,172000.0,0.0,0.0,0,0.0,8,0,-1,True
211.65.193.11_52.83.50.135_0_0_icmp,train,attack,icmp,1,86,0.001,86.0,0.0,1000.0,86000.0,0.0,0.0,0,0.0,0,0,-1,True
211.65.206.17_52.83.50.135_0_0_icmp,train,attack,icmp,1,86,0.001,86.0,0.0,1000.0,86000.0,0.0,0.0,0,0.0,8,0,-1,True
211.65.222.11_23.133.64.100_0_0_icmp,train,attack,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0,-1,True
193.24.123.16_211.65.210.253_56088_465_tcp,train,attack,tcp,3,192,17.944391,64.0,0.0,0.1671831604650166,10.699722269761065,1.0,0.0,465,0.0,0,0,-1,True
211.65.250.137_69.5.169.122_31416_26703_tcp,train,attack,tcp,2,128,0.005212,64.0,0.0,383.72985418265546,24558.71066768995,1.0,0.0,26703,0.0,0,0,-1,True
129.227.61.46_211.65.216.11_51991_443_tcp,train,attack,tcp,1,98,0.001,98.0,0.0,1000.0,98000.0,1.0,0.0,443,0.0,0,0,-1,True
129.227.61.46_211.65.216.11_53040_443_tcp,train,attack,tcp,1,98,0.001,98.0,0.0,1000.0,98000.0,1.0,0.0,443,0.0,0,0,-1,True
124.198.131.185_211.65.220.58_36842_8021_tcp,train,attack,tcp,2,128,68.248894,64.0,0.0,0.0293045041872766,1.8754882679857048,1.0,0.0,8021,0.0,0,0,-1,True
129.227.61.46_211.65.216.11_29851_443_tcp,train,attack,tcp,1,98,0.001,98.0,0.0,1000.0,98000.0,1.0,0.0,443,0.0,0,0,-1,True
188.240.59.39_211.65.244.6_55329_29871_tcp,train,attack,tcp,2,128,0.002828,64.0,0.0,707.2135785007073,45261.66902404527,1.0,0.0,29871,0.0,0,0,-1,True
211.65.245.145_69.5.169.27_2598_38047_tcp,train,attack,tcp,2,128,0.002684,64.0,0.0,745.1564828614008,47690.01490312965,1.0,0.0,38047,0.0,0,0,-1,True
193.24.123.16_211.65.230.138_56090_445_tcp,train,attack,tcp,3,192,19.295341,64.0,0.0,0.1554779467229939,9.95058859027161,1.0,0.0,445,0.0,0,0,-1,True
193.176.31.214_211.65.230.54_63140_10333_tcp,train,attack,tcp,2,128,0.003102,64.0,0.0,644.7453255963894,41263.70083816892,1.0,0.0,10333,0.0,0,0,-1,True
